action_id,role_name,domain,competency_name,text,description,resources_url,intervention_text,script,active
195,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,"After treatment I always share clear instructions and set expectations for patients and parents about numbness, food/drink to avoid, and reasons to call in case of concern.","You are the conductor, even though the doctor performs the procedure, it's your patient. You make sure that the parents and patients understand what they need to in order to have the best post-op experience possible",,This is really important! Go ahead and find someone to practice this with.,"For a Filling

""Ok Mrs. Jackson, Dr. Alex just got done doing a filling. Your son is going to experience some numbing in that area for a little while; that's totally normal. As soon as the that numbness wears off, he can eat and drink like normal. If Jason experiences any excessive pain or discomfort, that'd be a good idea to call us right away to get taken care of. 

For an Extraction

We did an extraction today they'll be numb for about another hour, please watch them to make sure they don't bite themselves. While the extraction is healing, avoid straws or spitting really hard. Bleeding has stopped for now but if there is any increase in bleeding, please go ahead and call us right away so that we can make sure that he's ok.",true
196,Doctor,Cultural,Team Flow & RDA Partnership,"I always stay aware of appointment time expectations and use my time intentionally so each patient receives focused, high-value care without negatively impacting the rest of the schedule.",,,,,true
197,Doctor,Cultural,Reliability & Professionalism,"I always stay aware of my attitude, energy, and presence throughout the day, recognizing that as the doctor I set the tone for the entire clinical team.",,,,,true
198,Doctor,Clinical,Treatment Planning for Long Term Health,"I always recommend a crown as the treatment option with the highest long-term success rate for primary tooth lesions that are structurally high-risk—specifically MO lesions on first primary molars, MOD lesions on any molar, lesions more than 50% into dentin, anterior lesions involving 3 or more surfaces or the incisal edge, and lesions of any size in a child being treated under general anesthesia.",,,,,true
199,Doctor,Clinical,Treatment Planning for Long Term Health,"I treatment plan anterior teeth under general anesthesia with heightened caution and transparency, recommending zirconia crowns for restorable teeth or extraction when prognosis is poor.",,,,,true
200,Doctor,Clerical,Follow Through and Review,"I always focus on diagnosing and recommending the best treatment plan for the child, and I defer detailed financial coordination to the practice’s administrative team.",,,,,true
201,Doctor,Clerical,Follow Through and Review,"I always ensure that all procedures requiring special consent have the correct consent form completed, signed, and documented in the patient chart before treatment begins.",,,,,true
202,Doctor,Clerical,Follow Through and Review,I always review our parental separation policy for oral sedation and general anesthesia during the treatment planning appointment so parents are not surprised on the day of treatment.,,,,,true
203,Doctor,Clinical,Treatment Planning for Long Term Health,"I always provide exceptionally thorough evaluations and definitive treatment planning for patients facing significant barriers to care (geographic, financial or otherwise), recognizing that each visit may represent a rare opportunity to improve their oral health.",,,,,true
204,Doctor,Clinical,Treatment Planning for Long Term Health,I always include an indirect pulp cap (IPC) in the treatment plan when a lesion approximates the pulp and pulp protection may be needed.,,,,,true
205,Doctor,Clinical,Treatment Planning for Long Term Health,I always adhere to the AAPD Maximum Recommended Dose (MRD) and weight-based dosing guidelines for all oral sedation medications and never exceed these limits.,,,,,true
206,Front Desk,Clinical,Clinical Team Communication,I always review patient notes and appointment details before starting the check-in process.,"Knowing what's in a patient's notes before they arrive lets you anticipate needs, flag anything unusual to the clinical team, and avoid being caught off guard at the desk.",,"Think about the last time something caught you off guard at check-in — a medical alert, an outstanding balance, a patient preference. Reviewing notes in advance is what prevents those moments.",,true
207,Front Desk,Clinical,Clinical Team Communication,I always inform the clinical team of any outstanding or expected patient balances before the patient is seated.,"Giving the clinical team a heads-up about outstanding balances means nothing comes as a surprise, and financial conversations stay at the front desk where they belong.",,"If this slipped, the clinical team may have been caught off guard in the surgery. Build this into your check-in routine before your next shift.",,true
208,Front Desk,Clinical,Clinical Team Communication,I always let new patients know at check-in that their dental nurse will collect them for a brief scan before they meet the dentist.,New patients who understand the flow of their appointment feel more in control and arrive at the chair with fewer anxieties — and fewer questions for the clinical team.,,"First impressions matter most with new patients. A quick, clear preview of what to expect sets the whole appointment up well — try scripting this so it comes naturally.",,true
209,Front Desk,Clinical,Daily Schedule Adaptability,"I always contact patients on the short-notice list daily, prioritising same-day and next-day open slots.",Consistently working the short-notice list keeps the diary full and reduces lost revenue from last-minute cancellations.,,An empty slot costs the practice real money. Even one call a day to the short-notice list makes a measurable difference — what's getting in the way of making it happen?,,true
210,Front Desk,Clinical,Daily Schedule Adaptability,I always communicate individually with all patients in the waiting area when we are running more than 10 minutes behind schedule.,"Patients who are kept informed feel respected even when things aren't running to time — silence breeds frustration, a quick update builds trust.",,"Think about the last time a patient looked frustrated in the waiting area. A brief, honest update takes 20 seconds and changes the mood entirely. Make it a habit.",,true
211,Front Desk,Clinical,Daily Schedule Adaptability,"I always offer same-day emergency patients a specific appointment time when available, or a sit-and-wait option with clear expectations about wait time.",Emergency patients are already stressed — giving them clarity about their options and realistic expectations prevents conflict and builds loyalty.,,"Emergency patients left uncertain about whether they'll be seen tend to escalate. Giving a clear answer, even if the wait is long, keeps everyone calmer. Review how you're handling these calls.",,true
212,Front Desk,Clinical,Fundamental Dental Knowledge,I can list all common dental procedures and their typical durations from memory.,"Confident, accurate scheduling starts with knowing your procedures — a receptionist who can recall timings from memory earns trust from both patients and the clinical team.",,Spend 10 minutes this week going through the procedure list in CareStack. Being able to recall durations quickly makes every booking call noticeably smoother.,,true
213,Front Desk,Clinical,Fundamental Dental Knowledge,I can summarise the basic steps for all common clinical procedures when a patient asks.,Patients who understand what a procedure involves are more likely to accept it — a receptionist who can explain it simply and confidently is a key part of the case acceptance chain.,,You don't need to be a clinician to explain a filling or a scale and polish. Identify the two or three procedures you're least confident describing and focus on those first.,,true
214,Front Desk,Clinical,Fundamental Dental Knowledge,"I always offer relevant branded treatment literature to patients at check-out, particularly those who are undecided about a recommended treatment.",Leaving a patient with something tangible to read keeps the treatment conversation alive and reduces the chance of a warm lead going cold before their next visit.,,"If a patient walked out undecided and without literature, the practice has likely lost that treatment. Make sure the right brochures are stocked at your station and visible at check-out.",,true
215,Front Desk,Clinical,Patient Flow Coordination,I always alert the clinical team immediately after completing patient check-in.,The clinical team can only run on time if they know a patient is ready — a delay in alerting them is a delay absorbed by every appointment that follows.,,Even a 2-minute lag between check-in and alerting the team can throw the diary off. Review how you're currently signalling patient readiness and whether there's a faster method.,,true
216,Front Desk,Clinical,Patient Flow Coordination,I always notify the Lead Dental Nurse if a patient has been waiting for longer than 10 minutes after check-in.,Proactively flagging delays keeps the clinical team accountable for patient flow and prevents a patient from feeling invisible in the waiting area.,,"If you noticed the wait was long but didn't flag it, think about what stopped you — was it unclear who to contact, or did you assume someone else was on it? Make the escalation automatic.",,true
217,Front Desk,Clinical,Patient Flow Coordination,I always process outstanding balance payments as part of the check-out process.,"Check-out is the right moment for financial conversations — a calm, dedicated exchange at reception is far more effective than anything that might happen in or near the surgery.",,"Outstanding balances that aren't addressed at check-out tend not to get addressed at all. If the conversation feels awkward, there's scripting in your learning resources to help.",,true
218,Front Desk,Clerical,Communication Balancing,"I always answer phones within 3 rings, respond to texts within 3 minutes, and return emails within 3 hours.",Response time is often the first impression a prospective patient has of the practice — missing these targets means missed opportunities and signals that we're difficult to reach.,,"If you're consistently missing these SLAs, identify when it's happening most — first thing in the morning, during handovers, at lunch — find the pattern and fix the gap.",,true
219,Front Desk,Clerical,Communication Balancing,I always respond to new Boxly enquiries with a personal phone call within 10 minutes.,Enquiry leads go cold fast — a personal call within 10 minutes is one of the highest-converting actions available to a receptionist.,,"Every Boxly enquiry that waits longer than 10 minutes is a patient who has likely moved on. If the timing is genuinely difficult, flag it — this SLA may need a process change to protect.",,true
220,Front Desk,Clerical,Communication Balancing,"I always place a caller on brief hold at the first natural break when a patient walks in, so I can serve the person in front of me.","The patient in front of you deserves undivided attention — managing this gracefully also signals to callers that we're thorough, not dismissive.",,"Trying to handle both at once usually means doing neither well. If this feels awkward, practise the hold script until it comes naturally before the next time it's needed.",,true
221,Front Desk,Clerical,Communication Balancing,"I always check answering machine messages and missed calls in the morning, at lunch, and in the afternoon and take action as necessary.",Missed calls that don't get returned promptly are a direct source of lost new patients and frustrated existing ones.,,"If message checks have been slipping, set a phone or calendar reminder for each of the three check times until the habit is locked in.",,true
222,Front Desk,Clerical,Communication Balancing,I always fully complete the check-in process with an offer of hospitality before returning to other tasks.,A rushed check-in where the patient is directed to sit down without a warm close leaves them feeling processed rather than welcomed.,,"Think about what a complete check-in actually looks like — does the patient know what to expect next? Have they been offered a drink? If either is missing, the check-in isn't finished.",,true
223,Front Desk,Clerical,Patient Record Maintenance,I always begin check-in by confirming the patient's preferred name and the identity of any accompanying person.,Getting a patient's name right from the first moment is a powerful signal of respect — and confirming accompanying persons is an important safeguarding habit.,,"This is one of those moves that can feel unnecessary until it matters — and when it matters, it really matters. Make it the first thing you do, every time.",,true
224,Front Desk,Clerical,Patient Record Maintenance,I always confirm the patient's registration and medical history status prior to completing check-in.,Incomplete records are a compliance risk and slow down the clinical team — catching them at the front desk prevents delays that ripple through the entire appointment.,,"If records are frequently incomplete at check-in, the earlier touchpoints — booking and reminder communications — may need strengthening. Flag this to your manager.",,true
225,Front Desk,Clerical,Patient Record Maintenance,I always set aside time each day to contact patients on the incomplete paperwork list.,Proactively chasing incomplete paperwork prevents check-in delays and keeps the clinical team's day running smoothly.,,"This is easy to defer when the day is busy, but it compounds quickly. Even 15 minutes a day, consistently applied, makes a significant difference to same-day stress. When can you protect this time?",,true
226,Front Desk,Clerical,Strategic Scheduling,I always personally contact any patient whose appointment remains unconfirmed 48 hours out.,Unconfirmed appointments are a leading predictor of no-shows — a personal contact at 48 hours gives enough time to fill the slot if the patient cancels.,,"If appointments are going unconfirmed past the 48-hour mark, check whether your end-of-day diary review is reliably catching these. Is there a process gap, or has the habit slipped?",,true
227,Front Desk,Clerical,Strategic Scheduling,I always use CareStack's list function to identify and contact patients for every empty surgery slot.,An empty surgery slot is lost revenue — the CareStack list function is the fastest tool available to fill it before it's gone.,,"If empty slots are going unfilled, review how regularly you're working the CareStack list. The contact list is only useful if it's being actioned every day.",,true
228,Front Desk,Clerical,Strategic Scheduling,I always ensure there are zero pending follow-up items in the VoiceStack Opportunities tab by the end of each day.,Every item left in Opportunities overnight is a potential patient who wasn't followed up — clearing the tab daily ensures nothing is missed.,,Items in Opportunities tend to stack up quickly if they carry over. Make clearing the tab the last thing you do before signing off each day.,,true
229,Front Desk,Clerical,Welcoming Environment,I always tidy the reception area and check the patient toilet and amenities at least once per hour.,"The reception area is the physical expression of the practice's standards — a clean, stocked environment tells patients they're in a place that pays attention to detail.",,"If the hourly check has been slipping, set a recurring reminder or build it into natural breaks in the diary. Patients notice more than we tend to assume.",,true
230,Front Desk,Clerical,Welcoming Environment,I always check throughout the day that the correct music is playing at an appropriate volume.,"The practice's ambient environment is a subtle but real part of the patient experience, and it's entirely within reception's control.",,This is a small thing that's easy to overlook when the day is busy — but it's part of owning the waiting area. A quick check takes seconds.,,true
231,Front Desk,Cultural,Empathetic Practice Policy Education,I always inform patients who cancel with less than 48 hours' notice of the consequence and offer one last opportunity to keep the appointment.,Enforcing the cancellation policy consistently — and with empathy — protects the diary and sends a clear message that appointments have real value.,,"If this conversation feels uncomfortable, remember the policy protects the patient's access to care as much as anything else. Scripting is available in your learning resources.",,true
232,Front Desk,Cultural,Empathetic Practice Policy Education,I always communicate the importance of attendance and ask the patient if we can count on them when booking.,"A simple, direct question about commitment at the point of booking dramatically increases the psychological weight a patient places on their appointment.",,"This is easy to skip in the flow of a booking call, but it's one of the most effective no-show prevention tools available. Try adding it to your standard booking close.",,true
233,Front Desk,Cultural,Empathetic Practice Policy Education,I always inform patients of outstanding balances during appointment confirmation so they are prepared at check-in.,Patients who are surprised by a balance at check-in are more likely to dispute or delay payment — a heads-up during confirmation removes the surprise entirely.,,"If you're skipping this step during confirmation calls, the check-in experience is likely to be more awkward as a result. Make it a standard part of the confirmation script.",,true
234,Front Desk,Cultural,Empathetic Practice Policy Education,"I always acknowledge patients who arrive late, express understanding, and advise that their wait may be longer than usual.","A late patient who receives a calm, empathetic response is far less likely to become a difficult one — and honest expectations prevent escalation.",,"The temptation when a late patient arrives is to say as little as possible. A brief, warm acknowledgement and an honest heads-up about wait time almost always defuses the tension.",,true
235,Front Desk,Cultural,Handling Critical Feedback,I always remain calm and restate the patient's feedback when presented with a complaint or concern.,Restating the feedback signals to the patient that they've been genuinely heard — and it creates a moment to regulate your own response before reacting.,,"If a complaint caught you off guard and this didn't happen, think about what you'd say next time. Restating doesn't require agreeing — it just means reflecting back what you heard.",,true
236,Front Desk,Cultural,Handling Critical Feedback,I always acknowledge my personal or our collective role in the situation when handling critical feedback.,"Patients in complaint mode are not looking for excuses — they're looking to feel understood, and a genuine acknowledgement almost always de-escalates the conversation.",,This isn't about blame — it's about signalling maturity and care. Even 'I can see why that was frustrating' is enough to shift the dynamic significantly.,,true
237,Front Desk,Cultural,Handling Critical Feedback,I always ensure a clear next step or resolution is agreed before ending any interaction involving a complaint.,Complaints that end without a clear next step leave the patient dissatisfied and the team exposed — a named resolution closes the loop for everyone.,,"If the conversation ended without a clear next step, the patient is likely still frustrated. It's not too late to follow up with a call to offer one.",,true
238,Front Desk,Cultural,Trust Building Interactions,I always ask patients what their goals are for the visit and note the answer when booking.,Knowing why a patient has booked — beyond the appointment type — allows the whole team to personalise the experience and spot case acceptance opportunities.,,"This question feels unusual at first, but patients respond well to it — it signals that the practice is genuinely interested in them as a person. Try it on your next new patient booking call.",,true
239,Front Desk,Cultural,Trust Building Interactions,I always address the patient by their preferred name throughout every interaction.,"Using a patient's preferred name — not just the name in the system — is one of the simplest ways to signal that they're a person, not an appointment slot.",,"If you're defaulting to whatever name is in CareStack without checking, make preferred name your first confirmation at every check-in.",,true
240,Front Desk,Cultural,Trust Building Interactions,"I always ask at least one curious, open-ended question during check-in.",A single genuine question during check-in transforms a transactional interaction into a human one — and patients who feel noticed are more loyal and more likely to refer.,,It doesn't have to be profound — 'How's your day going?' asked with real interest is enough. The goal is one moment of genuine connection per check-in. What stopped that from happening?,,true
241,Front Desk,Cultural,Trust Building Interactions,I always write a personalised response to every positive Google review within 24 hours.,"A timely, personal response to a positive review reinforces the patient's good experience and signals to prospective patients that the practice is attentive and grateful.",,"If reviews are going without a response, it sends the signal that the practice doesn't really care — the opposite of the impression the review was building. Block 10 minutes a day to check.",,true
242,Front Desk,Cultural,Trust Building Interactions,I always call patients the day after their treatment to check in on their recovery and answer any questions.,"A post-treatment call is a rare but high-impact gesture — most practices don't do it, and patients genuinely remember it.",,"If yesterday's treatment patients haven't been called, add them to your action list for first thing this morning. A 2-minute check-in can prevent a negative review and build real loyalty.",,true
243,Front Desk,Cultural,Welcoming Presence,I always stand up and greet every patient with a smile.,Standing to greet a patient is an immediately disarming gesture — it signals that their arrival matters and sets the tone for everything that follows.,,"This is one of the simplest moves on the list and one of the most impactful. If it's not happening consistently, identify what's getting in the way — a call, a screen — and clear the space.",,true
244,Front Desk,Cultural,Welcoming Presence,I always offer patients a hot or cold drink after check-in is complete.,"An offer of hospitality communicates that the practice values the patient's time and comfort, not just their appointment slot.",,"If the offer is being skipped because check-in feels rushed, that's a signal to slow down — a complete check-in always includes the hospitality close.",,true
245,Front Desk,Cultural,Welcoming Presence,"I always dress in business casual attire at the practice, even on non-clinical days.","Consistent professional presentation maintains the practice's image and reinforces that reception is part of the clinical team, not separate from it.",,"Presentation is the first thing a patient registers — even before you speak. If this slipped, it's an easy reset for tomorrow.",,true
246,Front Desk,Cultural,Welcoming Presence,I always centre myself and smile before answering the phone to ensure a warm tone of voice.,A patient calling the practice has no other signal of its quality except the voice they hear — the energy you bring to the phone is the practice's first impression.,,"If calls have been feeling rushed or flat lately, try physically pausing before picking up. One breath and a smile sounds small, but it genuinely changes the quality of what follows.",,true
247,Front Desk,Case Acceptance,Effective Objection Handling,"I always respond to cost concerns by presenting all available payment, financing, and membership plan options.",A patient who raises a cost concern hasn't said no — they've opened a door. Having all the options ready and presenting them confidently converts hesitation into treatment.,,"If cost conversations feel awkward, the options probably aren't fully internalised yet. Make sure you know the membership plan pricing, any payment schedule options, and the treatment discount by heart.",,true
248,Front Desk,Case Acceptance,Establishing Credibility,I always preview the dentist by name and reference a specific detail about their expertise when booking a new patient appointment.,"A patient who knows something specific about their dentist before they arrive is already more trusting — credibility building starts on the booking call, not in the surgery.",,"If you're not sure what to say about a particular dentist, ask them directly: 'What should I tell patients about you?' Make a note — you only need to do this once per dentist.",,true
249,Front Desk,Case Acceptance,Establishing Credibility,"I always describe the modern technologies, materials, and clinical processes used at our practice when booking a new patient appointment.","Proactively mentioning the practice's technology during a new patient call signals quality, justifies premium fees, and starts differentiating from NHS alternatives before the patient even arrives.",,"If the tech conversation feels forced, it's usually because it's being treated as an add-on rather than part of the natural new patient script. Work it in at a consistent point in the call.",,true
250,Front Desk,Case Acceptance,Facilitating Smooth Processes,I always guide new patients through completing their patient portal registration during the booking call.,"Patients who complete their portal registration before they arrive experience a smoother, faster check-in — and it prevents the frustration of delays on the day.",,"If patients are frequently arriving with incomplete registration, the booking call is where to fix it. Stay on the line with them — even if it takes a few extra minutes, it saves more time than it costs.",,true
251,Front Desk,Case Acceptance,Facilitating Smooth Processes,I always verbally preview all aspects of a visit when booking a new patient appointment.,"A patient who knows exactly what to expect — scan, nurse introduction, consultation structure — arrives calmer and requires less reassurance at the chair.",,"If patients frequently arrive with questions about what's going to happen, the preview on the booking call probably isn't complete. Walk through every stage of the visit and make sure each one gets a sentence.",,true
252,Front Desk,Case Acceptance,Facilitating Smooth Processes,I always follow our clinical question triage process when a patient raises a query outside my knowledge.,Clinical questions that reach the wrong person — or no person — erode patient trust and create risk. The triage process exists to make sure every question gets the right answer quickly.,,"If this process felt unclear or inconsistent, the triage guide is in your learning resources. Knowing exactly who to contact and in what order removes the hesitation that causes delays.",,true
253,Front Desk,Case Acceptance,Facilitating Smooth Processes,I always confirm that all required consent forms have been completed via the patient portal at least one week before any treatment appointment.,"Consent forms completed in advance give patients time to read and raise questions, reduce chair-side admin, and protect the practice from compliance risk.",,"If consent forms are regularly incomplete at the time of treatment, the one-week follow-up step is likely being missed. Set a calendar trigger for each upcoming treatment appointment to check and chase.",,true
254,Front Desk,Case Acceptance,Treatment Communication,I always introduce our membership plan during every new patient enquiry call.,"The first enquiry call is the highest-leverage moment to introduce the plan — the patient is engaged, forming their first impression, and most open to understanding the practice's full offer.",,"If the plan isn't coming up on enquiry calls, it's probably because it feels like a sales pitch at the wrong moment. It isn't — it's information that makes the practice more attractive. Work it into your enquiry script.",,true
255,Front Desk,Case Acceptance,Treatment Communication,I always present our membership plan to non-members at the end of every new patient appointment.,A patient who has just experienced the practice for the first time is at peak willingness to commit — this is the moment to present the plan and convert.,,"If the plan presentation is being skipped at the end of new patient appointments, it's a direct loss to practice revenue. Check CareStack to confirm membership status before the patient arrives at check-out.",,true
256,Front Desk,Case Acceptance,Treatment Communication,I always check a patient's membership plan status in CareStack before every appointment and reference the plan with non-members at check-out.,Consistently surfacing the plan at every appointment — not just new patient ones — is what prevents long-term patients from remaining non-members indefinitely.,,"If membership status isn't part of your pre-appointment preparation, it's easy to miss. Add it to your check-in checklist so it becomes automatic.",,true
257,Dental Assistant,Clinical,Accurate Charting,I always ask the dentist to review my clinical notes for accuracy before they leave the chair.,A quick confirmation from the dentist before they move on is the simplest quality control step in the room — it catches errors when they're easiest to fix.,,"If the dentist left without reviewing the notes, any errors in the record now require a separate correction. Make the review request a standard close to every charting session — it takes seconds.",,true
258,Dental Assistant,Clinical,Accurate Charting,I always accurately record the correct conditions for the correct teeth in both the clinical notes and on the dental chart as the dentist calls out findings.,"Charting errors are among the most consequential mistakes in clinical dentistry — an accurate, real-time record depends entirely on focused, precise notation as findings are called out.",,"If errors were made during charting, identify where the breakdown happened — was it the speed, the terminology, or a distraction? Accuracy in the moment is always easier than correcting the record after the fact.",,true
259,Dental Assistant,Clinical,Accurate Charting,I always accurately record all mutually agreed treatment as the dentist presents options to the patient.,"Treatment that is agreed in the chair but not captured accurately in the record creates confusion at every subsequent appointment — precise real-time recording is part of the clinical standard, not an admin task.",,"If the agreed treatment wasn't fully recorded, the next clinical encounter is starting with an incomplete picture. Review what was agreed and update the notes before the patient's next appointment.",,true
260,Dental Assistant,Clinical,Mastery of Dental Procedures,"I always collect new patients from reception, conduct their intraoral scan, and prepare the scan report before introducing them to their dentist.","The new patient intake sequence — scan first, then introduction to the dentist — means the dentist walks in with a complete diagnostic picture, and the patient has already experienced the practice's technology before treatment is discussed.",,"If the scan wasn't completed before the dentist arrived, the appointment lost one of its key quality signals. Protect the sequence: reception handoff → scan → report → dentist introduction, every time.",,true
261,Dental Assistant,Clinical,Mastery of Dental Procedures,I always anticipate the next instrument the dentist will need and have it ready before they ask for it.,A nurse who anticipates rather than reacts keeps the surgeon in flow and reduces the cognitive load in the room — this is one of the most visible markers of clinical competence.,,"If you were caught without the right instrument and the dentist had to ask, think about where the procedure was heading at that moment. Anticipation improves with procedure familiarity — identify which procedures still feel unpredictable and focus there.",,true
262,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,"I always tell, show, and do before performing any action on a patient.",Tell-show-do is one of the most effective anxiety management tools in clinical dentistry — patients who know what's coming are measurably calmer and more cooperative than those who don't.,,"If a patient flinched, tensed, or asked what you were doing mid-procedure, the tell-show-do step was likely missed. Build it in as a non-negotiable before every clinical action, even routine ones.",,true
263,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,I always notice and verbally affirm specific positive behaviours from the patient during clinical activities.,"Specific, genuine reinforcement — 'you're doing brilliantly at staying still' — is far more effective than generic praise and meaningfully reduces patient anxiety across the appointment.",,"Generic reassurance like 'you're doing great' lands less than specific feedback. Think about what the patient actually did well and name it — the more specific it is, the more it lands.",,true
264,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,I always monitor the patient for signs of anxiety or discomfort during procedures and actively manage their comfort unless the dentist is already doing so.,"An unmanaged anxious patient affects the quality of the procedure and their likelihood of returning — proactive comfort monitoring is part of the clinical role, not a nice-to-have.",,"If a patient was visibly tense and it wasn't addressed, think about what you were focused on instead. Comfort monitoring is a parallel task, not a separate one — it happens at the same time as everything else.",,true
265,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,"When the dentist enters, I always present the patient by name, state the planned procedure, share any relevant medical history, and relay any patient questions or concerns.",A thorough patient presentation means the dentist walks in fully informed and the patient feels seen — it sets the clinical standard for the appointment from the first moment.,,"If the dentist had to ask for information during the appointment that should have been in the presentation, the handoff was incomplete. Standardise what you include every time: name, procedure, medical history, patient concerns.",,true
266,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,I always ask patients what they'd like to watch or listen to during their appointment and make sure they can see and hear it clearly before treatment begins.,A patient who is comfortably settled with their chosen entertainment is measurably more relaxed and easier to treat — getting this right before treatment starts prevents interruptions mid-procedure.,,"If this was skipped or the setup wasn't quite right, the patient may have been uncomfortable in ways that were avoidable. Make the entertainment setup part of your patient-seating routine — it takes less than a minute.",,true
267,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,I always preview the dentist and the procedure before treatment begins and invite any questions or concerns from the patient.,A brief preview before treatment starts gives the patient a final moment to ask questions and mentally prepare — it reduces mid-procedure interruptions and builds trust in the care they're about to receive.,,"If the procedure started without a preview, the patient may have felt rushed or uncertain. Build the preview into your patient setup close — after the entertainment is sorted and before you call the dentist in.",,true
268,Dental Assistant,Clinical,Sterilisation and Procedure Preparation,I always use gloves only when handling contaminated instruments or chemicals and remove them before touching anything clean or sterile.,Glove discipline is one of the foundational infection control behaviours — incorrect use is a direct cross-contamination risk and a compliance issue that inspectors look for specifically.,,"If glove use was inconsistent during this session, identify the moment it slipped and why. This is a non-negotiable standard — the consequence of getting it wrong is clinical, not just procedural.",,true
269,Dental Assistant,Clinical,Sterilisation and Procedure Preparation,I always set up the tray for the scheduled procedure and any likely alternatives before bringing the patient into the surgery.,A fully prepared tray before the patient enters removes the need to leave the room mid-procedure and signals a level of preparation that patients notice and trust.,,"If the tray wasn't ready when the patient arrived, it created a delay and a gap in the professional impression. Review the appointment list at the start of each session so setups are never reactive.",,true
270,Dental Assistant,Clinical,Sterilisation and Procedure Preparation,I always review the surgery reset checklist and confirm every item is complete before considering the surgery ready for the next patient.,"A missed reset item — contaminated surface, incorrectly stored instrument, incomplete stock — is an infection control risk that compounds across every appointment that follows.",,"If the reset was rushed or the checklist wasn't completed in full, the surgery may not have been truly ready. The checklist exists because memory alone isn't reliable at the end of a busy session.",,true
271,Dental Assistant,Clinical,Sterilisation and Procedure Preparation,I always use fresh cleaning cloths for each individual patient appointment.,"Reusing cleaning cloths between patients is a cross-contamination risk — even if surfaces appear clean, the clinical standard requires a fresh cloth for every appointment without exception.",,"This is a non-negotiable infection control standard. If it slipped, identify what pressured the shortcut — time, supply, habit — and address it before the next session.",,true
272,Dental Assistant,Clerical,Clerical Procedure Requirements,I always verify that valid consent has been obtained before starting the appointment.,"Consent is a non-negotiable legal and ethical requirement — checking it before every appointment, not just assuming it's been done, protects both the patient and the practice.",,"If an appointment started without confirmed consent, that's a compliance risk regardless of outcome. Make the consent check the first thing you do when reviewing the patient record, every time.",,true
273,Dental Assistant,Clerical,Clerical Procedure Requirements,I always label the teeth on the images after taking a radiograph before leaving the workstation.,Unlabelled radiographs create ambiguity in clinical records and slow down the dentist's review — correct labelling at the workstation before you move prevents errors that are difficult to fix retrospectively.,,"If images left the workstation unlabelled, the clinical record is incomplete. Build the labelling step into your radiograph routine before you do anything else after the exposure.",,true
274,Dental Assistant,Clerical,Coordinating Patient Flow,"I always update the patient status to ""In Chair"" when they are seated and ""Treatment Complete"" when they are ready for reception.","Accurate, real-time status updates are what allow reception and the wider team to manage the diary without constantly checking in — a delayed update creates a ripple that affects everyone.",,"If status updates are being delayed or forgotten, reception is flying blind. Make the update the first thing you do when a patient sits down and the last thing before you walk them to the lounge.",,true
275,Dental Assistant,Clerical,Coordinating Patient Flow,I always consult the lead dental nurse and create a plan to get back on time when the patient time tracker shows a warning.,Running late in one surgery affects the whole day's flow — catching a warning early and acting on it is far less disruptive than letting a delay compound across every appointment that follows.,,"If the warning was noticed but nothing was done, the delay was avoidable. The point of the tracker is to prompt action, not just awareness — what would getting back on time have required?",,true
276,Dental Assistant,Clerical,Coordinating Patient Flow,"I always communicate patient readiness to the dentist clearly, including the patient's location, procedure, and type, so the surgery keeps moving.",The dentist can only flow efficiently between patients if the information they receive is complete and consistent — vague or incomplete handovers create hesitation and lost time.,,"If the dentist had to ask for information that should have been communicated, that's a flow breakdown. Standardise what you say when a patient is ready and make it a reflex.",,true
277,Dental Assistant,Clerical,Coordinating Patient Flow,I always maintain the same professional pace and focus whether the surgery is calm or hectic.,"Patients and dentists both read the nurse's energy — a nurse who appears rushed or flustered in a busy session raises anxiety in the room. Consistency under pressure is a skill, not just an attitude.",,"If your pace or manner shifted noticeably under pressure, think about what triggered it. Identifying the pattern is the first step to managing it before it affects the patient or the session.",,true
278,Dental Assistant,Clerical,Office Task Management,I always check Dentistry Compliance and complete all outstanding tasks before leaving the practice each day.,"End-of-day compliance tasks exist to keep the practice safe, legal, and operationally sound — tasks that carry over accumulate risk and create extra work for the following day.",,"If tasks were left incomplete, the practice started the next day with a backlog and a compliance gap. Build a Dentistry Compliance check into your end-of-day routine before you start tidying up.",,true
279,Dental Assistant,Clerical,Office Task Management,"I always check in with reception during any gap of 45 minutes or more, once my nursing duties are complete, to offer help contacting patients on the short-notice list.","A nurse who can use downtime productively is a genuine asset to the whole practice — filling a gap in the diary benefits everyone, and the offer costs nothing if reception already has it covered.",,"If downtime passed without a check-in with reception, a slot may have gone unfilled that didn't have to. The habit is simple: nursing duties first, then check in — it only takes a moment.",,true
280,Dental Assistant,Clerical,Office Task Management,I always check high-turnover disposables before lunch and at the end of the day and flag anything running low.,Running short on disposables mid-session creates unnecessary stress and can disrupt patient care — two checks a day is all it takes to make sure it never happens.,,"If a session started short on supplies, the pre-session check was missed. It takes less than two minutes and prevents a problem that's much harder to fix once a patient is in the chair.",,true
